Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CHACO,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-CORRIENTES,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CHACO,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_CORRIENTES,Provincia_ENTRE RIOS,Provincia_MENDOZA,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TUCUMAN
2022-01-20,10,0 days 01:49:37.400000,0 days 02:56:37.600000,0 days 01:56:28.900000,3.0,5.0,0.0,3,0,2,8,2,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0
2022-01-21,16,0 days 00:27:25.750000,0 days 03:04:19.750000,0 days 03:34:29.812500,2.0,0.0,0.0,7,0,2,12,4,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0
2022-01-22,13,0 days 00:44:33.461538461,0 days 03:01:34.384615384,0 days 03:50:21.461538461,5.0,2.0,0.0,7,0,1,9,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0
2022-01-23,8,0 days 00:10:23.500000,0 days 08:16:06.875000,0 days 08:29:23.750000,1.0,2.0,0.0,2,0,2,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,0
2022-01-24,13,0 days 00:48:56.538461538,0 days 02:14:46.230769230,0 days 03:07:06.846153846,5.0,4.0,0.0,0,0,0,8,5,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,14,0 days 00:33:56,0 days 03:45:07,0 days 04:22:13.071428571,3.0,0.0,0.0,3,0,3,7,7,1,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0
2022-01-26,14,0 days 00:28:51.357142857,0 days 03:52:25,0 days 04:25:34.500000,3.0,2.0,0.0,9,0,1,7,7,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0
2022-01-27,6,0 days 00:07:49.500000,0 days 02:11:39.333333333,0 days 02:21:40.166666666,1.0,0.0,0.0,2,0,1,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
2022-01-28,8,0 days 00:03:41.250000,0 days 02:36:28.125000,0 days 02:43:32.875000,1.0,0.0,0.0,2,0,3,4,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0
2022-01-29,13,0 days 02:35:03.923076923,0 days 03:00:10,0 days 03:25:08.615384615,0.0,1.0,0.0,7,0,0,9,4,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0
