Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CATAMARCA,Zona Inicial_Z-CHACO,Zona Inicial_Z-CHUBUT,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-CORRIENTES,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-FORMOSA,Zona Inicial_Z-JUJUY,Zona Inicial_Z-LA PAMPA,Zona Inicial_Z-LA RIOJA,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-MISIONES,Zona Inicial_Z-NEUQUEN,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA CRUZ,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TIERRA DEL FUEGO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CATAMARCA,Provincia_CHACO,Provincia_CHUBUT,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_CORRIENTES,Provincia_ENTRE RIOS,Provincia_FORMOSA,Provincia_JUJUY,Provincia_LA PAMPA,Provincia_LA RIOJA,Provincia_MENDOZA,Provincia_MISIONES,Provincia_NEUQUEN,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA CRUZ,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TIERRA DEL FUEGO,Provincia_TUCUMAN
2022-01-13,327,0 days 02:52:36.342507645,0 days 01:41:09.721712538,0 days 04:37:10.926605504,60.0,7.0,0.0,44,0,50,191,136,8,21,56,42,47,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,149,0,0,1,148,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2022-01-14,318,0 days 02:13:32.261006289,0 days 01:01:00.918238993,0 days 03:17:21.679245283,84.0,9.0,0.0,45,0,37,185,133,10,17,57,40,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,145,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2022-01-15,338,0 days 01:10:08.431952662,0 days 01:05:03.186390532,0 days 02:07:06.520710059,38.0,5.0,0.0,29,0,49,203,135,12,23,67,35,46,0,0,0,3,0,0,0,0,0,0,1,0,3,1,0,0,1,0,2,0,0,3,141,0,0,0,162,3,0,0,0,0,0,0,1,0,3,1,0,0,1,0,2,0,0,3
2022-01-16,275,0 days 01:22:33.934545454,0 days 01:03:07.003636363,0 days 02:38:24.607272727,39.0,10.0,0.0,38,0,44,142,133,10,16,56,25,40,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,122,0,0,0,131,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
2022-01-17,371,0 days 03:07:18.522911051,0 days 01:02:55.576819407,0 days 04:14:38.169811320,78.0,28.0,0.0,50,0,39,213,158,23,30,61,42,47,0,0,0,1,0,6,0,0,0,0,2,0,3,0,0,0,1,0,5,0,0,0,150,0,0,0,170,1,0,6,0,0,0,0,2,0,3,0,0,0,1,0,5,0,0,0
2022-01-18,337,0 days 01:56:50.255192878,0 days 01:03:15.700296735,0 days 03:02:59.712166172,39.0,5.0,0.0,36,0,42,210,127,14,28,51,43,49,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,141,0,0,0,159,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1
2022-01-19,335,0 days 00:51:13.400000,0 days 01:01:58.788059701,0 days 01:55:45.874626865,40.0,7.0,0.0,42,0,52,200,135,18,24,76,32,42,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2,0,3,0,0,1,132,0,0,0,167,1,0,1,0,0,0,0,0,0,1,0,1,0,2,0,3,0,0,1
2022-01-20,289,0 days 00:49:29.692041522,0 days 00:59:34.221453287,0 days 01:54:58.557093425,30.0,7.0,0.0,31,1,44,166,123,14,19,70,36,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,105,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2022-01-21,273,0 days 01:28:49.157509157,0 days 01:05:59.586080586,0 days 02:37:08.622710622,26.0,15.0,0.0,42,0,36,171,102,12,24,66,36,44,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,84,0,0,0,167,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0
2022-01-22,204,0 days 00:40:32.259803921,0 days 00:43:17.058823529,0 days 01:25:55.186274509,13.0,6.0,0.0,37,0,18,128,76,10,13,54,20,32,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,70,0,0,1,111,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
