Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CATAMARCA,Zona Inicial_Z-CHACO,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-JUJUY,Zona Inicial_Z-LA RIOJA,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-MISIONES,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TIERRA DEL FUEGO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CATAMARCA,Provincia_CHACO,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_ENTRE RIOS,Provincia_JUJUY,Provincia_LA RIOJA,Provincia_MENDOZA,Provincia_MISIONES,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TIERRA DEL FUEGO,Provincia_TUCUMAN,Color Curso_ROJO,Internó_SI
2022-01-16,39,0 days 01:00:26.871794871,0 days 02:25:47.230769230,0 days 03:30:20.846153846,8.0,16.0,17.0,25,0,2,23,16,2,3,6,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
2022-01-17,37,0 days 00:20:12.378378378,0 days 01:35:34.891891891,0 days 01:57:11.756756756,5.0,15.0,30.0,17,0,2,27,10,0,3,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
2022-01-18,40,0 days 00:14:23.300000,0 days 01:31:56.600000,0 days 01:27:13.500000,5.0,5.0,39.0,17,0,1,25,15,0,4,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9
2022-01-19,49,0 days 00:11:51.346938775,0 days 01:08:39.653061224,0 days 01:23:59.693877551,7.0,11.0,35.0,31,0,0,30,19,0,2,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,6
2022-01-20,36,0 days 00:24:43.055555555,0 days 04:09:14.972222222,0 days 01:44:15.111111111,6.0,8.0,7.0,21,0,3,25,11,1,1,6,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,4
2022-01-21,42,0 days 00:21:29.142857142,0 days 02:12:44.785714285,0 days 01:34:40.142857142,5.0,11.0,17.0,22,0,1,23,19,1,2,9,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7
2022-01-22,39,0 days 00:08:21.615384615,0 days 01:32:13.358974358,0 days 01:12:07.769230769,5.0,7.0,8.0,27,0,0,22,17,0,2,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12
2022-01-23,41,0 days 00:10:13.243902439,0 days 01:10:44.756097560,0 days 01:23:15.609756097,13.0,7.0,7.0,26,0,0,27,14,0,3,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12
2022-01-24,41,0 days 00:15:10.804878048,0 days 01:21:23.951219512,0 days 01:40:08.390243902,2.0,4.0,10.0,20,0,0,25,16,2,2,9,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,6
2022-01-25,35,0 days 00:18:25.285714285,0 days 02:26:33.085714285,0 days 01:40:46.942857142,9.0,15.0,1.0,13,0,1,20,14,0,3,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4
2022-01-26,35,0 days 00:14:53.742857142,0 days 01:48:03.914285714,0 days 01:27:29.200000,7.0,1.0,1.0,24,0,0,17,18,0,2,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5
2022-01-27,39,0 days 00:03:38.512820512,0 days 00:56:22.589743589,0 days 01:02:20.153846153,5.0,4.0,21.0,24,0,2,27,12,0,2,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,7
2022-01-28,36,0 days 00:07:57.694444444,0 days 02:38:04.583333333,0 days 01:02:38.055555555,2.0,8.0,18.0,23,0,0,20,16,0,3,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
2022-01-29,29,0 days 00:19:31.482758620,0 days 01:29:38.862068965,0 days 01:10:37.137931034,6.0,3.0,6.0,17,0,0,19,10,2,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8
